Title,Part of Speech,Meaning
gabay ng magulang,adjective,main support of parents in their old age
gagapang na parang ahas,verb,will lead a miserable life
ganggakalingkingan,adjective,very small when compared to another
gasgas ang bulsa,adjective,spent heavily
gawin ang isda,verb,prepare the fish for cooking
ginintuang puso,adjective,"sympathetic
kind-hearted"
ginintuang tinig,adjective,a beautiful voice
gintong asal,adjective,a nice ang appreciable character admired and loved by all
guhit ng palad,noun,"fate
destiny"
